n,p,alpha,w_type,min,max,average
100,0.2,0.7,random,0.0,0.6921255203481542,0.006999880982824088
100,0.2,0.8,degree,0.0,0.07272727272727274,0.007999999999999998
100,0.2,0.8,random,0.0,0.792639330828002,0.007999982708982622
100,0.2,0.9,degree,0.0,0.08181818181818182,0.009
100,0.2,0.9,random,0.0,0.8844320152760501,0.008999959060629987
100,0.2,1.0,degree,0.0,0.125,0.01
100,0.2,1.0,random,0.0,0.9965441296055272,0.009999871742185149
100,0.2,0.1,degree,0.0,0.011111111111111112,0.001
100,0.2,0.1,random,0.0,0.09845770917457791,0.000999978195304874
100,0.2,0.2,degree,0.0,0.016666666666666666,0.002
100,0.2,0.2,random,0.0,0.19763233169936517,0.001999983805654104
100,0.2,0.3,degree,0.0,0.024999999999999998,0.003
100,0.2,0.3,random,0.0,0.2981804848806947,0.002999989118891537
